model,n_folds,mase_mean,mase_median,mase_std,mae_mean,rmse_mean
Prophet,26,0.6427314863600551,0.5758975427218027,0.2845512770611591,198.11612595013457,238.12579023807936
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",26,0.6601633274966094,0.5845132837165609,0.27723355092094276,203.50927712419622,248.43780375516627
LSTM,26,0.7773926577974624,0.7286119044579962,0.27802107771685786,239.6112700141655,299.6204826095957
SeasonalNaive,26,0.9464703283203693,0.9179511183904785,0.3019874807850139,291.6678021978022,369.7606498173163
