model,n_folds,mase_mean,mase_median,mase_std,mae_mean,rmse_mean,AIC (first-fold train)
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",26,0.6601633274966094,0.5845132837165609,0.27723355092094276,203.50927712419622,248.43780375516627,12625.7
"SARIMAX_airline_(0,1,1)(0,1,1,7)",26,0.661607460883586,0.5848297161217619,0.27804468600879484,203.95482099236614,248.90141668551146,12623.9
"SARIMAX_drift_(0,0,1)(0,1,1,7)",26,0.7399980360333238,0.6707124963723053,0.36912558748414365,228.15286898074925,277.23036913492416,12727.7
