model,fold,n_train,train_end,test_start,test_end,mae,rmse,mase
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",20,1054,2024-11-19,2024-11-20,2024-11-26,177.29965440726127,257.94925633550764,0.5774809403128839
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",21,1061,2024-11-26,2024-11-27,2024-12-03,206.6171293957926,253.55813913663593,0.6733166944099669
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",22,1068,2024-12-03,2024-12-04,2024-12-10,348.6583955797124,431.20869477100274,1.13260137565542
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",23,1075,2024-12-10,2024-12-11,2024-12-17,151.1549769464053,192.7853409909902,0.48904378671406007
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",24,1082,2024-12-17,2024-12-18,2024-12-24,121.3363652337155,145.3301932145503,0.39304529295248175
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",25,1089,2024-12-24,2024-12-25,2024-12-31,491.0389810110373,647.2346911362436,1.5939535766664261
Prophet,0,914,2024-07-02,2024-07-03,2024-07-09,95.86233076664575,113.01878020062814,0.30720165542224803
Prophet,1,921,2024-07-09,2024-07-10,2024-07-16,234.63149676969104,256.89790211637467,0.7551350197876154
Prophet,2,928,2024-07-16,2024-07-17,2024-07-23,161.8592726721889,252.6783159798045,0.5224191573296683
Prophet,3,935,2024-07-23,2024-07-24,2024-07-30,121.31101361859153,163.97266030629422,0.39162103637228834
Prophet,4,942,2024-07-30,2024-07-31,2024-08-06,309.8450651361432,426.7894003453152,1.0048257693606548
Prophet,5,949,2024-08-06,2024-08-07,2024-08-13,131.35092441135203,156.05396781783318,0.42539854988451115
Prophet,6,956,2024-08-13,2024-08-14,2024-08-20,218.78606895046966,233.1543297131095,0.7087735896913546
Prophet,7,963,2024-08-20,2024-08-21,2024-08-27,178.38012162337319,213.909354303118,0.5786667518341624
Prophet,8,970,2024-08-27,2024-08-28,2024-09-03,183.71120973705283,208.50619634806017,0.5961035712013607
Prophet,9,977,2024-09-03,2024-09-04,2024-09-10,175.77853873695977,202.72520916467514,0.5696466496519028
Prophet,10,984,2024-09-10,2024-09-11,2024-09-17,155.87548559907984,184.08950956464136,0.5064176608648885
Prophet,11,991,2024-09-17,2024-09-18,2024-09-24,126.85868053463115,139.5958178858253,0.41244104838585116
Prophet,12,998,2024-09-24,2024-09-25,2024-10-01,184.93481667477886,242.25572487850008,0.6008035195027003
Prophet,13,1005,2024-10-01,2024-10-02,2024-10-08,275.07395273866183,305.19257506450816,0.8939372274503193
Prophet,14,1012,2024-10-08,2024-10-09,2024-10-15,139.33356845728005,179.03937084381266,0.45190432120737756
Prophet,15,1019,2024-10-15,2024-10-16,2024-10-22,197.58288699110258,204.6406825245042,0.6413082628151023
Prophet,16,1026,2024-10-22,2024-10-23,2024-10-29,176.47192832842555,224.69075959396878,0.5731283336094432
Prophet,17,1033,2024-10-29,2024-10-30,2024-11-05,169.9031166592685,225.14333985410732,0.5534836254641013
Prophet,18,1040,2024-11-05,2024-11-06,2024-11-12,186.3488937812128,196.9409234364267,0.6057794457931097
Prophet,19,1047,2024-11-12,2024-11-13,2024-11-19,170.37547215469925,212.99128086101175,0.5543132784546895
Prophet,20,1054,2024-11-19,2024-11-20,2024-11-26,220.06051177773352,278.1068670346597,0.7167569034016992
Prophet,21,1061,2024-11-26,2024-11-27,2024-12-03,291.29291693465717,334.571749300507,0.9492551973257369
Prophet,22,1068,2024-12-03,2024-12-04,2024-12-10,255.88653913466123,279.38980877099584,0.8312361036186836
Prophet,23,1075,2024-12-10,2024-12-11,2024-12-17,151.91351189989888,178.98959271103234,0.4914979355188527
Prophet,24,1082,2024-12-17,2024-12-18,2024-12-24,104.64046946816617,111.45869658320596,0.3389622220640932
Prophet,25,1089,2024-12-24,2024-12-25,2024-12-31,532.9504811467733,666.4677309871431,1.7300018093490168
LSTM,0,914,2024-07-02,2024-07-03,2024-07-09,101.30881556919634,139.3093212342251,0.324655530517864
LSTM,1,921,2024-07-09,2024-07-10,2024-07-16,188.13343052455352,222.45656506632523,0.6054862358113822
LSTM,2,928,2024-07-16,2024-07-17,2024-07-23,230.4107073102678,324.5783514770688,0.7436766863307758
LSTM,3,935,2024-07-23,2024-07-24,2024-07-30,175.6730273437499,212.2541822825838,0.5671146500128919
LSTM,4,942,2024-07-30,2024-07-31,2024-08-06,322.2367940848214,452.73421816672163,1.0450120752780756
LSTM,5,949,2024-08-06,2024-08-07,2024-08-13,189.1115206473214,205.94086306318863,0.6124644117302658
LSTM,6,956,2024-08-13,2024-08-14,2024-08-20,178.79595145089277,239.19261974827955,0.5792226577315558
LSTM,7,963,2024-08-20,2024-08-21,2024-08-27,258.8723549107142,321.3754951156602,0.839784295427989
LSTM,8,970,2024-08-27,2024-08-28,2024-09-03,220.78249581473207,265.6111338998554,0.7163919632464699
LSTM,9,977,2024-09-03,2024-09-04,2024-09-10,243.15166085379465,277.6821117988913,0.7879831631205623
LSTM,10,984,2024-09-10,2024-09-11,2024-09-17,200.34077357700895,238.40427495534814,0.6508791651285162
LSTM,11,991,2024-09-17,2024-09-18,2024-09-24,173.04961844308036,213.64659972924878,0.5626163361674847
LSTM,12,998,2024-09-24,2024-09-25,2024-10-01,274.85663364955354,339.65080150810337,0.8929353370258968
LSTM,13,1005,2024-10-01,2024-10-02,2024-10-08,327.38440778459824,359.89538225397513,1.0639361047880662
LSTM,14,1012,2024-10-08,2024-10-09,2024-10-15,277.803564453125,320.75173412645523,0.901007794555053
LSTM,15,1019,2024-10-15,2024-10-16,2024-10-22,160.77925781250002,198.0903447992329,0.521852211467479
LSTM,16,1026,2024-10-22,2024-10-23,2024-10-29,273.4036704799108,325.60391783122833,0.8879338008549236
LSTM,17,1033,2024-10-29,2024-10-30,2024-11-05,210.8548465401786,282.6738481449361,0.6868897240053562
LSTM,18,1040,2024-11-05,2024-11-06,2024-11-12,227.8934946986607,283.2892367504603,0.7408318456695223
LSTM,19,1047,2024-11-12,2024-11-13,2024-11-19,180.6586202566964,240.6797348620245,0.5877693004111688
LSTM,20,1054,2024-11-19,2024-11-20,2024-11-26,280.39280412946414,314.0116187074371,0.9132646125395818
LSTM,21,1061,2024-11-26,2024-11-27,2024-12-03,269.98412388392865,368.3102903359192,0.8798148457888678
LSTM,22,1068,2024-12-03,2024-12-04,2024-12-10,372.67587890625003,478.10520292232826,1.2106211078640439
LSTM,23,1075,2024-12-10,2024-12-11,2024-12-17,216.1473590959822,256.92340321304357,0.6993188389557472
LSTM,24,1082,2024-12-17,2024-12-18,2024-12-24,144.63928989955366,190.48656625861616,0.46853053461347843
LSTM,25,1089,2024-12-24,2024-12-25,2024-12-31,530.551918247768,718.47472959833,1.7222158736910023
